episode_counter,current_waypoint,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,rotation_angle,vel_x,vel_y,vel_z,forward_x,forward_y,forward_z
0,1,125.0016,0.5893332,27.01072,0.009359676,1.200022e-06,-0.001313798,0.9999554,-0.001271817,-0.001440492,0.1883144,0.019127,-2.219351e-05,-0.01871852,0.9998248
0,1,125.0013,0.5967245,27.01027,0.008955373,1.399057e-07,-0.001077814,0.9999593,-0.001090207,-0.004933694,0.1896622,-0.006216975,-1.902465e-05,-0.01791002,0.9998396
0,1,125.0004,0.607877,27.00625,0.005389358,4.226812e-07,-0.0003258725,0.9999855,-0.0001528246,-0.008984643,0.1386285,-0.04614371,-2.667137e-06,-0.01077856,0.9999419
0,1,125.0002,0.6095875,27.00481,0.004111257,9.263102e-07,-0.0001153186,0.9999915,5.181984e-05,-0.009314872,0.1180852,-0.05257291,9.043963e-07,-0.008222444,0.9999662
0,1,124.9995,0.611819,27.00014,-9.362135e-06,2.555674e-06,0.0004717316,0.9999999,0.0002923525,-0.008740416,0.04856513,-0.06164274,5.102515e-06,1.872668e-05,1
0,1,124.9992,0.6110259,26.99724,-0.002597572,7.661965e-05,0.0007272922,0.9999964,0.008563563,-0.007921686,0.002201412,-0.05619917,0.0001494604,0.005195236,0.9999865
0,1,124.9989,0.6065829,26.99883,-0.009120642,2.845807e-05,0.0009283294,0.999958,0.002291056,-0.004358886,-0.05696037,0.0561573,3.997982e-05,0.01824057,0.9998336
0,1,124.9988,0.6022561,27.00526,-0.01436683,0.0002301876,0.0009633011,0.9998963,0.02479916,-0.002057355,-0.08489554,0.1563534,0.0004326483,0.02873113,0.9995871
0,1,124.9987,0.5954322,27.02335,-0.02094488,0.001118317,0.0008450683,0.9997797,0.1262041,0.0008079853,-0.107971,0.333613,0.002200742,0.04188241,0.9991201
0,1,124.9989,0.5915107,27.04125,-0.02348555,0.001418905,0.0006948651,0.999723,0.1608571,0.002926254,-0.1090693,0.4299004,0.002804386,0.04696006,0.9988928
0,1,124.9993,0.5875061,27.07711,-0.02409595,0.00142377,0.0004159563,0.9997085,0.1621445,0.003312992,-0.0947654,0.5992781,0.002826664,0.04817903,0.9988347
0,1,124.9996,0.5863412,27.10655,-0.02246455,0.001764607,0.0002534492,0.9997461,0.2017093,0.004369163,-0.07561442,0.7010451,0.003516931,0.04491859,0.9989845
0,1,125,0.5866354,27.15886,-0.01850029,0.001939609,-2.390021e-05,0.999827,0.2224279,0.004409155,-0.04168915,0.8713269,0.003879432,0.0369941,0.9993079
0,1,125.0004,0.587815,27.19948,-0.01611791,0.001824907,-0.0001546061,0.9998685,0.2094862,0.002509695,-0.01929037,0.9741852,0.003654317,0.03223102,0.9994738
